"LSPEC","Sample_ID","V_number","sample_type","CSTRAT","YEAR","Araphid","Asymmetric_Biraphid","Centric","Epithemioid","Eunotioid","Monoraphid","Nitzschioid","Pennates","Surirelloid","Symmetric_Biraphid","Unknown_Fragment"
"L3515","V333671_L3515","V333671","Stickleback",659.7,4271.917,11,9,38,0,8,0,0,0,1,1,224
"L3464","V333620_L3464","V333620","Stickleback",656.6,4372.304,2,4,7,0,6,0,0,0,2,2,149
"L3351","V333509_L3351","V333509","Stickleback",651.55,4535.838,3,3,34,0,4,0,0,0,0,6,167
"L3054","V333195_L3054","V333195","Stickleback",642.45,4830.522,8,10,74,0,15,0,0,0,0,13,308
"L2711","V332856_L2711","V332856","Stickleback",639.45,4927.671,1,4,45,0,8,0,0,0,0,3,166
"L2543","V332690_L2543","V332690","Stickleback",636.6,5019.962,4,18,66,0,13,0,0,0,0,18,275
"L2804","V332949_L2804","V332949","Stickleback",633.7,5113.873,1,21,123,1,18,0,0,0,0,6,307
"L2523","V332671_L2523","V332671","Stickleback",630.9,5204.545,3,1,40,1,3,0,0,0,0,6,151
"L2451","V332603_L2451","V332603","Stickleback",627.9,5301.694,0,1,26,0,0,0,0,0,0,0,140
"L2257","V332514_L2257","V332514","Stickleback",625,5395.604,2,3,32,0,0,0,0,0,0,2,186
"L2278","V332534_L2278","V332534","Stickleback",620.4,5544.565,3,0,34,0,0,0,0,0,2,1,164
"L2167","V332424_L2167","V332424","Stickleback",617.1,5651.429,3,1,25,0,0,0,0,0,0,0,127
"L2007","V332269_L2007","V332269","Stickleback",475.1,10249.801,35,20,308,10,8,3,0,96,10,26,403
"L1729","V331999_L1729","V331999","Stickleback",467.45,10497.53,56,17,235,5,1,6,0,395,0,25,216
"L1363","V331643_L1363","V331643","Stickleback",458.05,10801.93,22,40,136,1,5,30,0,286,0,23,240
"L1308","V331589_L1308","V331589","Stickleback",455.15,10895.84,46,32,469,13,5,20,1,111,0,43,386
"L2150","V332407_L2150","V332407","Stickleback",447.2,11153.284,60,34,482,11,1,3,0,145,0,50,641
"L0141","V330499_L0141","V330499","Stickleback",413.4,12247.826,10,16,81,0,0,2,0,0,1,6,213
"L0349","V330692_L0349","V330692","Stickleback",104.85,22239.571,0,4,30,0,4,0,0,0,0,3,192
"L0262","V330611_L0262","V330611","Stickleback",99.45,22414.438,0,10,22,0,2,0,0,0,0,2,153
"L0257","V330606_L0257","V330606","Stickleback",94.55,22573.114,10,16,108,0,3,0,0,0,13,28,416
"L0294","V330640_L0294","V330640","Stickleback",89.75,22728.552,9,21,85,0,10,0,0,0,0,15,281
"L0295","V330641_L0295","V330641","Stickleback",89.15,22747.982,11,16,77,1,22,0,0,0,2,8,329
"L0317","V330663_L0317","V330663","Stickleback",86.95,22819.224,2,4,44,0,4,0,0,0,0,6,338
"L0040","V330400_L0040","V330400","Stickleback",NA,NA,15,30,229,0,0,7,1,0,0,6,162
"L0095","V330455_L0095","V330455","Stickleback",NA,NA,5,2,102,1,2,5,2,0,2,13,149
"L0110","V330470_L110","V330470","Stickleback",NA,NA,57,31,260,18,10,15,0,601,10,65,344
"L0161","V330519_L0161","V330519","Stickleback",NA,NA,9,1,294,0,1,9,0,0,1,3,363
"L0286","V330632_L0286","V330632","Stickleback",NA,NA,2,19,139,5,0,0,0,0,1,15,547
"L0297","V330643_L0297","V330643","Stickleback",NA,NA,4,12,42,0,0,0,0,0,0,0,406
"L1466","V331739_L1466","V331739","Stickleback",NA,NA,38,40,337,7,15,14,1,263,0,24,499
"L2072","V332333_L2072","V332333","Stickleback",NA,NA,1,22,65,1,3,0,0,0,1,14,262
"L2097","V332357_L2097","V332357","Stickleback",NA,NA,3,3,64,0,0,0,0,0,0,0,167
"L2284","V332540_L2284","V332540","Stickleback",NA,NA,1,1,62,1,1,0,0,0,0,1,165
"L3096","V333237_L3096","V333237","Stickleback",NA,NA,9,23,140,1,19,0,0,0,0,17,493
"L3291","V333449_L3291","V333449","Stickleback",NA,NA,6,11,69,1,4,0,0,0,1,17,202
"L3425","V333581_L3425","V333581","Stickleback",NA,NA,4,17,92,2,4,0,0,0,10,17,307
"L3646","V333800_L3646","V333800","Stickleback",NA,NA,8,5,46,0,7,0,0,0,0,1,176
"L3752","V333906_L3752","V333906","Stickleback",NA,NA,12,8,39,1,8,0,0,0,0,8,191
"L3863","V333994_L3863","V333994","Stickleback",NA,NA,3,19,100,3,10,0,1,0,1,43,263
